"lon","lat","present"
-151.3333333,59.5666667,0
-134.6277769,58.2513877,0
-134.7660128,58.4423687,0
-133.0848056,55.5557449,0
-131.5213101,55.3269454,0
-135.5684509,59.3363717,0
-132.75,55.6333333,0
-151.2763427,60.2959485,0
-148.752472,61.7327327,0
-150.1403586,61.6593477,0
-152.6228043,57.8166195,0
-146.250915,64.9459157,0
-146.9948586,64.5464143,0
-147.541411,64.8922107,0
-145.870208,60.4971524,0
-145.9169019,61.0587623,0
-144.9583298,61.7342231,0
-147.1759823,61.937256,0
-145.3725998,62.3624206,0
-145.1834259,61.6605217,0
-155.7906521,58.5472473,0
-157,64.5,0
-176.63582,51.8267727,0
-141.4111936,64.1668176,0
-145.3989869,62.0285997,0
-150.121842,62.7457057,0
-149.2910681,63.7379551,0
-149.370988,60.5022017,0
-149.4276,61.58697,0
-150.7868883,60.5957398,0
-151.7956533,59.7967661,0
-132.9127349,56.8076137,0
-135.1551062,57.0173668,0
-132.6257,55.688234,0
-132.3749999,56.4698397,0
-139.5646039,59.4439512,0
-152.45,57.5333333,0
-146.0599662,65.0544087,0
-158.5270562,59.0346173,0
-162.8976207,55.269419,0
-156.4585984,58.6704647,0
-146.515638,62.2317426,0
-150.262923,62.3970477,0
-149.5527653,60.7796745,0
-149.830079,61.6306207,0
-151.371947,60.3668387,0
-151.486467,59.4466527,0
-132.7658694,56.7395445,0
-132.54334,55.844263,0
-132.3798899,56.4599307,0
-152.6177,57.8128265,0
-157.0287273,64.7706568,0
-150.2366378,62.3172987,0
-150.5656383,60.5259627,0
-151.560698,59.6464107,0
-139.0217497,59.4178465,0
-149.71492,67.6695397,0
-149.842437,61.4001417,0
-165.3122783,64.4875219,0
-150.6324337,66.4417734,0
-150.29011,67.0166107,0
-164.4368625,64.5451414,0
-145.7282965,64.0157146,0
-159.809447,64.0145247,0
-149.3473217,68.4265923,0
-148.8351789,68.8572136,0
-158.0780083,63.5963002,0
-135.0455629,57.9218687,0
-133.0775149,56.2075277,0
-146.0316309,63.0461337,0
-152.9504467,66.3335727,0
-155.5890429,62.9510075,0
-151.942126,66.5800037,0
-149.350356,61.5640897,0
-150.6131749,65.0076556,0
-148.65472,65.4883997,0
-142.3235417,63.6093407,0
-157.8441809,63.583047,0
-165.9993285,64.7776327,0
-155.523896,64.4609377,0
-165.3015102,64.61589,0
-135.3507079,59.5294227,0
-163.1690916,62.0526113,0
-166.0880717,64.8314753,0
-147.942277,64.9122387,0
-132.7665559,56.3501108,0
-144.7314019,66.6919918,0
-145.7381802,63.856257,0
-149.7786148,61.2964911,0
-160.6919837,62.9209173,0
-159.6936457,59.531682,0
-135.0598309,57.8376397,0
-161.6032109,60.8732615,0
-161.6098199,60.6947613,0
-163.3028181,67.8544008,0
-130.0162113,55.9156605,0
-155.6186013,62.9117822,0
-160.6818422,59.8562241,0
-162.563881,66.9018584,0
-152.1177445,66.2372145,0
-161.028716,59.3271587,0
-158.274781,67.1032427,0
-147.6666667,61.9166667,0
-149.68837,60.3856237,0
-149,61,0
-139.0259182,59.4192119,0
-135.3478099,57.1269767,0
-132,56,0
-139,59,0
-149.544356,61.2560417,0
-145.3482303,60.4652137,0
-146.358644,61.1264627,0
-158.621354,59.2727127,0
-159.1257,66.5989357,0
-159.029436,66.5554507,0
-156.966,64.7399997,0
-162.553573,66.8910427,0
-162.742293,55.1689487,0
-156.459427,58.6712837,0
-145.4974345,63.0291587,0
-143.0712119,62.4422837,0
-144.4072212,61.5260959,0
-142.9452499,61.4337187,0
-131.8566825,56.6468465,0
-134.2423435,56.7078365,0
-110.84452,49.93222,0
-111.4102,49.87324,0
-112.39699,49.08995,0
-113.56982,49.81509,0
-114.58692,49.6325,0
-110.25869,50.74668,0
-111.84916,50.56388,0
-112.02041,50.30279,0
-113.02852,50.60147,0
-114.42456,50.48053,0
-110.7956,51.00887,0
-111.07823,51.32875,0
-112.64694,51.77818,0
-113.77234,51.21261,0
-114.45039,51.83143,0
-115.09111,51.09521,0
-116.22023,51.46021,0
-110.65127,52.46309,0
-111.07638,52.20111,0
-112.33861,52.17208,0
-113.22753,52.20126,0
-114.47782,52.02799,0
-116.00016,52.49814,0
-116.39168,52.25872,0
-117.63709,52.73141,0
-110.86644,53.49666,0
-111.52556,53.71555,0
